study_word,test_word,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,StudyText.started,Studyslider.started,Studyslider.response,Studyslider.rt,TestText_2.started,test_textbox_2.started,submit_text_2.started,testmouse_2.started,test_textbox_2.text,testmouse_2.x,testmouse_2.y,testmouse_2.leftButton,testmouse_2.midButton,testmouse_2.rightButton,testmouse_2.time,testmouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
,C_m_ra,Camera,new,,,,,0,5,5,19,,,,,50.4486723,50.4486723,50.4486723,0.0030602,camera,[-0.025925925925925925],[-0.3037037037037037],[1],[0],[0],[5.869353400077671],['submit_text_2'],582315,1,2023-10-05_17h34.15.266,Word priming exp class main for lab report  game,2023.1.3,59.74354481
,_oo_,Book,old,,,,,0,6,6,13,,,,,56.3203114,56.3203114,56.3203114,0.0042579,book,[-0.027314814814814816],[-0.3138888888888889],[1],[0],[0],[2.8407372999936342],['submit_text_2'],582315,1,2023-10-05_17h34.15.266,Word priming exp class main for lab report  game,2023.1.3,59.74354481
,_ho_e,Phone,old,,,,,0,7,7,12,,,,,59.1684066,59.1684066,59.1684066,0.0038863,phone,[-0.023148148148148147],[-0.2962962962962963],[1],[0],[0],[7.661315600154921],['submit_text_2'],582315,1,2023-10-05_17h34.15.266,Word priming exp class main for lab report  game,2023.1.3,59.74354481
,_o_se,Mouse,old,,,,,0,8,8,3,,,,,66.8325193,66.8325193,66.8325193,0.0034784,mouse,[-0.03287037037037037],[-0.2967592592592593],[1],[0],[0],[7.9845783999189734],['submit_text_2'],582315,1,2023-10-05_17h34.15.266,Word priming exp class main for lab report  game,2023.1.3,59.74354481
,_o_rd,Board,old,,,,,0,9,9,10,,,,,74.8288964,74.8288964,74.8288964,0.0050657,board,[-0.002777777777777778],[-0.3055555555555556],[1],[0],[0],[7.4941161999013275],['submit_text_2'],582315,1,2023-10-05_17h34.15.266,Word priming exp class main for lab report  game,2023.1.3,59.74354481
,L_pt_p,Laptop,old,,,,,0,10,10,0,,,,,82.3257396,82.3257396,82.3257396,0.0029278,laptop,[-0.018518518518518517],[-0.30416666666666664],[1],[0],[0],[4.755974099971354],['submit_text_2'],582315,1,2023-10-05_17h34.15.266,Word priming exp class main for lab report  game,2023.1.3,59.74354481
,_a_bl_,Marble,old,,,,,0,11,11,11,,,,,87.0826424,87.0826424,87.0826424,0.0033212,marble,[0.023148148148148147],[-0.3037037037037037],[1],[0],[0],[7.311025000177324],['submit_text_2'],582315,1,2023-10-05_17h34.15.266,Word priming exp class main for lab report  game,2023.1.3,59.74354481
,K_y_,Keys,old,,,,,0,12,12,8,,,,,94.3971981,94.3971981,94.3971981,0.0026838,keys,[0.023148148148148147],[-0.3037037037037037],[1],[0],[0],[3.1990837999619544],['submit_text_2'],582315,1,2023-10-05_17h34.15.266,Word priming exp class main for lab report  game,2023.1.3,59.74354481
,T_hi_t,Tshirt,old,,,,,0,13,13,2,,,,,97.6023391,97.6023391,97.6023391,0.0052296,Tshirt,[0.015277777777777777],[-0.30925925925925923],[1],[0],[0],[3.9981044000014663],['submit_text_2'],582315,1,2023-10-05_17h34.15.266,Word priming exp class main for lab report  game,2023.1.3,59.74354481
,V_s_,Vase,new,,,,,0,14,14,17,,,,,101.6102768,101.6102768,101.6102768,0.0045574,Vase,[0.015277777777777777],[-0.30925925925925923],[1],[0],[0],[3.660545299993828],['submit_text_2'],582315,1,2023-10-05_17h34.15.266,Word priming exp class main for lab report  game,2023.1.3,59.74354481
,Ta_l_,Table,new,,,,,0,15,15,15,,,,,105.2755821,105.2755821,105.2755821,0.003255,Table,[0.013888888888888888],[-0.30925925925925923],[1],[0],[0],[4.744289200054482],['submit_text_2'],582315,1,2023-10-05_17h34.15.266,Word priming exp class main for lab report  game,2023.1.3,59.74354481
,Bo_t_e,Bottle,new,,,,,0,16,16,18,,,,,110.0264231,110.0264231,110.0264231,0.0050464,Bottle,[0.015277777777777777],[-0.31712962962962965],[1],[0],[0],[4.823512499919161],['submit_text_2'],582315,1,2023-10-05_17h34.15.266,Word priming exp class main for lab report  game,2023.1.3,59.74354481
,P_nc_l,Pencil,new,,,,,0,17,17,16,,,,,114.8514597,114.8514597,114.8514597,0.0068432,Pencil,[0.011111111111111112],[-0.30277777777777776],[1],[0],[0],[3.1072263000532985],['submit_text_2'],582315,1,2023-10-05_17h34.15.266,Word priming exp class main for lab report  game,2023.1.3,59.74354481
,_ha_t,Chart,old,,,,,0,18,18,1,,,,,117.9647614,117.9647614,117.9647614,0.0038637,Chart,[0.011111111111111112],[-0.30277777777777776],[1],[0],[0],[3.582746700150892],['submit_text_2'],582315,1,2023-10-05_17h34.15.266,Word priming exp class main for lab report  game,2023.1.3,59.74354481
,C_s_io_,Cushion,old,,,,,0,19,19,14,,,,,121.5557844,121.5557844,121.5557844,0.0027668,Cushion,[-0.0032407407407407406],[-0.30462962962962964],[1],[0],[0],[4.636017700191587],['submit_text_2'],582315,1,2023-10-05_17h34.15.266,Word priming exp class main for lab report  game,2023.1.3,59.74354481
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,15/15 = 1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5/5= 1,,,,,,,,,,,,,
